titre,prix,stock,image,categorie,url,rating
A Light in the Attic,Â£51.77,In stock (22 available),https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,Travel,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three
The Black Maria,Â£52.15,In stock (19 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,Travel,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One
Shakespeare's Sonnets,Â£20.66,In stock (19 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,Travel,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four
Olio,Â£23.88,In stock (19 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,Travel,https://books.toscrape.com/catalogue/olio_984/index.html,One
You can't bury them all: Poems,Â£33.63,In stock (17 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,Travel,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Two
Slow States of Collapse: Poems,Â£57.31,In stock (17 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,Travel,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Three
Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock (16 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,Travel,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Four
Poems That Make Grown Women Cry,Â£14.19,In stock (15 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/18/ac/18ac3f16b10a5fc47e603d93335e3f24.jpg,Travel,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,Four
Night Sky with Exit Wounds,Â£41.05,In stock (15 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/ff/48/ff48b0696fb97b7f7b5c6d15e372cb70.jpg,Travel,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,One
salt.,Â£46.78,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/c9/92/c9924f9637aef6d9fc8e165be62f69ee.jpg,Travel,https://books.toscrape.com/catalogue/salt_731/index.html,Four
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Â£50.89,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/68/92/68922093080c377fa521ba64d8d372e1.jpg,Travel,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,Five
Out of Print: City Lights Spotlight No. 14,Â£53.64,In stock (8 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/4c/5a/4c5a559bc2edb79e5d48af4dbc813eb2.jpg,Travel,https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html,Five
Les Fleurs du Mal,Â£29.04,In stock (8 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/3d/32/3d324c0b55c221e9b701d4e772b42ad6.jpg,Travel,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html,Five
Howl and Other Poems,Â£40.45,In stock (8 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/09/8e/098e81fcea9f6b4c15f6d207301c0085.jpg,Travel,https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html,Two
